Client_ID,Gender,Age,Frequecy,Monthly Income(1-100 K)
11044,FEMALE,50,41,43
11048,FEMALE,31,48,26
11049,FEMALE,56,21,47
11383,FEMALE,31,47,29
11384,FEMALE,31,46,31
13836,FEMALE,40,54,27
13837,FEMALE,54,29,47
13838,FEMALE,59,18,38
13839,FEMALE,57,20,45
13840,FEMALE,57,19,40
13841,FEMALE,64,7,38
13842,FEMALE,31,45,28
13844,FEMALE,47,32,40
13845,FEMALE,46,42,26
49704,MALE,31,44,32
68377,FEMALE,38,48,29
68378,FEMALE,57,18,47
68381,FEMALE,41,50,26
68383,FEMALE,38,47,31
189581,MALE,66,6,38
189582,FEMALE,42,34,35
189583,FEMALE,43,49,26
189594,FEMALE,21,13,6
189595,FEMALE,44,43,42
189596,FEMALE,52,39,43
189598,FEMALE,48,38,41
189599,FEMALE,63,8,45
189600,FEMALE,58,20,50
189601,FEMALE,48,37,41
189603,FEMALE,32,49,25
189604,FEMALE,46,41,31
189605,FEMALE,46,40,27
189606,FEMALE,54,28,48
189607,FEMALE,55,30,39
189608,FEMALE,54,27,45
189609,FEMALE,46,39,29
189686,FEMALE,53,23,50
189687,MALE,39,41,34
189816,FEMALE,37,36,37
189987,MALE,56,20,48
189991,FEMALE,42,33,29
190007,FEMALE,32,48,27
190008,FEMALE,42,32,31
190009,MALE,41,49,31
190010,FEMALE,35,45,37
190011,FEMALE,63,7,55
190012,FEMALE,53,22,52
190013,FEMALE,38,46,27
190014,FEMALE,41,48,27
190015,FEMALE,64,6,45
190288,FEMALE,58,19,52
190292,FEMALE,56,19,45
190294,FEMALE,43,48,31
190296,FEMALE,53,21,57
190299,FEMALE,32,47,27
190310,FEMALE,32,46,28
190315,FEMALE,46,38,32
190433,FEMALE,52,38,49
190472,FEMALE,30,36,25
190473,FEMALE,39,40,42
190474,FEMALE,30,35,22
190475,FEMALE,40,53,29
190538,FEMALE,28,35,30
190540,FEMALE,36,37,38
190541,FEMALE,43,47,27
190542,FEMALE,53,20,45
190751,FEMALE,48,36,29
190752,FEMALE,53,19,40
191013,FEMALE,30,34,27
191100,FEMALE,53,18,47
191116,FEMALE,50,40,31
191118,FEMALE,50,39,27
191122,FEMALE,53,17,48
191209,FEMALE,23,14,15
191216,FEMALE,31,43,35
191336,FEMALE,42,31,27
191342,FEMALE,43,46,29
191343,MALE,39,39,46
191344,FEMALE,71,1,30
191451,FEMALE,47,31,29
191452,FEMALE,44,42,29
191462,FEMALE,50,38,29
191465,FEMALE,46,37,35
191468,FEMALE,50,37,35
191471,FEMALE,41,47,29
191472,FEMALE,65,9,30
191473,FEMALE,40,52,32
191474,FEMALE,33,38,37
191476,FEMALE,55,29,48
191477,FEMALE,37,35,27
191478,MALE,19,5,3
191479,FEMALE,51,29,50
191507,FEMALE,31,42,27
191521,FEMALE,54,26,59
191536,MALE,39,38,42
191537,FEMALE,50,36,26
191539,FEMALE,58,18,57
191540,FEMALE,59,17,45
191542,FEMALE,69,6,52
191544,FEMALE,54,25,62
191550,MALE,69,5,53
191552,FEMALE,37,34,38
191554,FEMALE,59,16,39
191580,FEMALE,38,45,29
191581,FEMALE,23,13,15
191582,FEMALE,57,17,48
191583,FEMALE,28,34,29
191638,FEMALE,40,51,35
191639,FEMALE,62,6,39
191640,FEMALE,31,41,37
191643,FEMALE,28,33,26
191761,FEMALE,43,45,32
191765,MALE,44,41,35
191768,FEMALE,42,30,29
191770,FEMALE,41,46,32
191771,FEMALE,34,36,29
191772,FEMALE,65,8,45
191897,FEMALE,27,20,18
192046,FEMALE,35,44,27
192051,FEMALE,24,24,15
192056,FEMALE,30,33,28
192215,MALE,20,10,5
192216,FEMALE,65,7,55
192217,FEMALE,22,11,7
192218,FEMALE,62,5,48
192221,FEMALE,63,6,52
192222,FEMALE,52,37,38
192223,FEMALE,45,24,31
192224,FEMALE,32,45,30
192226,FEMALE,25,24,20
192227,FEMALE,41,45,35
192228,FEMALE,48,35,35
192235,FEMALE,34,35,31
192236,FEMALE,59,15,48
192237,FEMALE,38,44,35
192238,FEMALE,60,14,38
192241,MALE,67,5,29
192347,FEMALE,29,31,28
192349,FEMALE,52,36,48
192350,FEMALE,53,16,45
192351,FEMALE,51,28,52
192533,FEMALE,40,50,37
192536,FEMALE,33,37,33
192537,FEMALE,23,12,16
192538,FEMALE,30,32,30
192540,FEMALE,37,33,34
192596,FEMALE,34,34,28
192598,MALE,43,44,35
192720,FEMALE,43,43,37
192800,FEMALE,35,43,38
192804,FEMALE,40,49,31
192806,FEMALE,35,42,34
192808,FEMALE,44,40,29
192892,FEMALE,42,29,35
192926,MALE,37,32,42
192953,FEMALE,43,42,31
192954,FEMALE,33,36,29
192955,FEMALE,36,36,34
192956,FEMALE,40,48,34
192962,FEMALE,32,44,29
192963,FEMALE,22,10,8
192973,MALE,53,15,59
192974,MALE,46,36,37
192975,FEMALE,30,31,29
192980,FEMALE,46,35,31
193095,MALE,44,39,31
193097,MALE,20,9,6
193098,MALE,27,19,19
193099,MALE,27,18,20
193143,FEMALE,43,41,37
193147,FEMALE,48,34,29
193237,FEMALE,27,17,20
193369,FEMALE,49,39,27
193836,FEMALE,28,32,29
193841,MALE,34,33,25
193844,MALE,41,44,37
193848,FEMALE,46,34,38
193850,MALE,37,31,46
193851,MALE,47,30,35
193852,MALE,40,47,29
193853,MALE,49,38,29
193854,MALE,49,37,35
193860,MALE,31,40,33
194340,FEMALE,38,43,26
194342,FEMALE,59,14,50
194346,FEMALE,43,40,29
194347,FEMALE,59,13,52
194354,FEMALE,58,17,45
194355,MALE,49,36,26
194449,FEMALE,31,39,29
194651,MALE,58,16,40
194655,FEMALE,43,39,35
194702,FEMALE,30,30,26
194854,FEMALE,40,46,35
194855,FEMALE,54,24,60
194856,FEMALE,30,29,29
194858,FEMALE,39,37,29
194957,FEMALE,57,16,45
195041,FEMALE,50,35,31
195043,FEMALE,37,30,42
195044,FEMALE,50,34,27
195045,FEMALE,45,23,38
195088,FEMALE,56,18,59
195091,FEMALE,31,38,31
195099,MALE,55,28,50
195100,FEMALE,42,28,26
195137,MALE,42,27,31
195138,FEMALE,55,27,52
195546,FEMALE,28,31,31
195757,FEMALE,34,32,27
195765,FEMALE,33,35,31
196122,MALE,69,4,50
196332,FEMALE,29,30,25
196668,FEMALE,41,43,31
196678,FEMALE,44,38,27
196682,FEMALE,51,27,57
196684,FEMALE,29,29,22
196685,FEMALE,57,15,59
196687,FEMALE,36,35,42
196959,FEMALE,35,41,42
196962,MALE,30,28,31
196963,FEMALE,39,36,35
196965,MALE,67,4,30
196966,FEMALE,46,33,38
197053,FEMALE,56,17,62
197061,FEMALE,39,35,29
197062,FEMALE,59,12,57
197065,FEMALE,41,42,35
197066,FEMALE,24,23,16
197075,MALE,24,22,14
197076,FEMALE,51,26,45
197078,FEMALE,46,32,39
197079,FEMALE,35,40,46
197080,FEMALE,34,31,27
197094,FEMALE,40,45,29
197190,FEMALE,58,15,47
197194,FEMALE,46,31,29
197195,MALE,51,25,40
197197,FEMALE,52,35,50
197199,FEMALE,57,14,62
197200,MALE,54,23,58
197204,MALE,36,34,46
197205,FEMALE,60,13,45
197207,FEMALE,51,24,47
197208,MALE,44,37,29
197210,FEMALE,40,44,37
197714,FEMALE,61,11,47
197715,FEMALE,58,14,48
197716,FEMALE,51,23,48
197721,FEMALE,51,22,39
197722,FEMALE,59,11,45
197724,FEMALE,57,13,60
197725,FEMALE,50,33,29
197729,FEMALE,44,36,35
197730,MALE,31,37,28
197834,FEMALE,40,43,33
198507,FEMALE,38,42,31
198895,FEMALE,40,42,37
198896,FEMALE,65,6,52
198897,FEMALE,49,35,31
198899,FEMALE,25,23,17
198900,FEMALE,52,34,52
199442,FEMALE,58,13,45
199687,FEMALE,33,34,28
199706,FEMALE,40,41,27
199711,FEMALE,30,27,28
199713,FEMALE,46,30,35
200321,MALE,32,43,26
200470,FEMALE,51,21,41
200586,FEMALE,39,34,31
200589,FEMALE,49,34,27
200595,MALE,30,26,29
200596,FEMALE,43,38,29
200602,FEMALE,67,3,45
200604,FEMALE,34,30,28
200605,FEMALE,67,2,55
200935,FEMALE,41,41,29
201253,FEMALE,44,35,26
201254,FEMALE,38,41,27
201255,FEMALE,27,16,17
201256,FEMALE,34,29,30
201258,FEMALE,29,28,27
201260,FEMALE,35,39,42
201261,FEMALE,38,40,29
201263,FEMALE,31,36,25
201264,FEMALE,43,37,37
201265,MALE,32,42,29
201266,FEMALE,31,35,27
201267,FEMALE,34,28,29
201268,FEMALE,44,34,31
201270,FEMALE,31,34,27
201530,FEMALE,48,33,37
201531,FEMALE,36,33,42
201723,MALE,47,29,29
201724,FEMALE,35,38,29
201726,MALE,24,21,13
201866,MALE,25,22,17
201984,MALE,48,31,37
202109,MALE,23,11,17
202629,MALE,40,39,34
202635,MALE,31,32,30
203014,MALE,39,32,29
203027,MALE,33,33,25
203028,MALE,37,27,29
203030,MALE,52,30,47
203173,MALE,64,4,48
203178,MALE,26,27,17
203285,MALE,26,26,15
203286,MALE,25,21,17
203415,MALE,38,37,37
203667,MALE,27,15,15
203723,MALE,33,30,28
203727,MALE,40,36,42
204007,MALE,48,27,42
205168,MALE,40,35,29
205383,MALE,32,37,27
205427,MALE,35,34,33
205429,MALE,41,39,29
205430,MALE,28,29,25
206332,MALE,34,24,28
207104,MALE,38,36,31
207114,MALE,26,24,19
207262,MALE,27,12,20
207269,MALE,26,23,20
207424,MALE,30,25,26
207431,MALE,43,33,38
207890,MALE,28,28,22
208005,MALE,41,34,38
208241,MALE,18,4,2
209066,MALE,45,21,38
209393,MALE,41,33,34
209564,MALE,27,11,18
210217,MALE,49,29,31
210228,MALE,47,25,27
210251,MALE,43,32,34
210685,MALE,26,21,18
210687,MALE,19,4,2
211769,MALE,24,18,16
212225,MALE,26,20,19
212229,MALE,38,35,29
212256,MALE,38,34,35
212279,MALE,25,20,15
212282,MALE,38,33,29
212290,MALE,47,24,38
212350,MALE,56,13,57
212356,MALE,59,9,47
212366,MALE,32,33,31
212514,MALE,44,28,31
213393,MALE,54,21,57
213394,MALE,58,10,60
213485,MALE,31,27,28
213620,MALE,20,8,5
214540,MALE,35,33,37
215157,MALE,55,21,45
215275,MALE,50,27,38
215282,MALE,26,19,20
215285,MALE,30,24,29
215587,MALE,59,8,48
215889,MALE,54,20,38
216552,MALE,30,23,31
216569,MALE,25,19,18
217398,MALE,31,26,32
219033,MALE,53,12,58
219320,MALE,31,25,35
219333,MALE,28,27,27
219612,MALE,51,19,42
219628,MALE,48,25,42
219632,MALE,46,25,27
219663,MALE,48,24,29
220971,MALE,44,27,38
220985,MALE,33,29,30
222454,MALE,41,32,42
222540,MALE,35,32,27
222547,MALE,24,17,17
222550,MALE,46,24,38
222725,MALE,45,20,38
222843,MALE,32,32,28
223021,MALE,41,31,46
223204,MALE,30,22,28
223208,MALE,54,19,45
223568,MALE,31,24,27
224157,MALE,26,18,18
224159,MALE,24,16,15
224160,MALE,23,10,15
224344,MALE,25,18,19
224358,MALE,49,28,38
224628,MALE,32,31,25
226061,MALE,55,20,59
226239,MALE,49,27,38
226248,MALE,48,23,35
226258,MALE,54,18,39
226261,MALE,28,26,28
226262,MALE,35,31,38
226641,MALE,29,26,30
226751,MALE,38,32,37
226827,MALE,26,17,18
226911,MALE,26,16,17
226991,MALE,40,33,29
227037,MALE,33,28,29
227039,MALE,54,17,48
227066,MALE,49,26,39
227067,MALE,54,16,50
227323,MALE,69,2,35
227461,MALE,39,28,27
227464,MALE,52,21,49
227815,MALE,30,21,25
228022,MALE,46,23,34
228810,MALE,37,23,35
228899,MALE,42,24,32
228979,MALE,34,23,32
229160,MALE,47,23,34
229176,MALE,56,12,38
229187,MALE,39,27,29
229193,MALE,41,30,42
229262,MALE,26,15,15
229263,MALE,35,30,34
229287,MALE,47,22,42
229553,MALE,40,32,31
229784,MALE,50,26,39
229791,MALE,60,8,45
229798,MALE,41,29,29
229807,MALE,26,14,18
229840,MALE,62,4,25
229952,MALE,42,23,35
230051,MALE,56,11,45
230246,MALE,55,19,62
230498,MALE,50,25,39
230762,MALE,21,10,9
230763,MALE,32,30,27
230764,MALE,39,26,32
230794,MALE,38,31,33
230811,MALE,44,26,29
230831,MALE,40,31,27
230837,MALE,49,25,39
230840,MALE,31,23,37
230844,MALE,48,22,29
230851,MALE,54,15,52
230875,MALE,32,29,27
230882,MALE,25,17,20
230886,MALE,25,16,18
230924,MALE,54,14,57
230953,MALE,28,25,30
231106,MALE,55,18,60
231264,MALE,24,15,18
231266,MALE,50,24,41
231277,MALE,48,21,31
231304,MALE,45,19,29
231491,MALE,35,29,42
231998,MALE,35,28,46
232781,MALE,39,25,35
232804,MALE,21,9,8
232808,MALE,42,22,37
232810,MALE,40,30,29
232835,MALE,47,21,46
232997,MALE,30,20,22
233022,MALE,48,20,27
233178,MALE,61,6,60
233772,MALE,48,19,29
233919,MALE,25,15,18
233922,MALE,31,22,33
233924,MALE,40,29,35
233935,MALE,52,20,38
233936,MALE,67,1,52
233940,MALE,41,28,35
233943,MALE,27,10,18
233948,MALE,25,14,19
233949,MALE,14,1,1
233991,MALE,47,20,42
233994,MALE,19,3,3
233996,MALE,24,14,19
233999,MALE,46,22,42
234003,MALE,54,13,45
234081,MALE,43,31,42
234083,MALE,24,13,20
234558,MALE,33,27,26
234571,MALE,20,7,7
234572,MALE,39,24,37
235105,MALE,35,27,42
235109,MALE,27,9,19
235112,MALE,32,28,28
235114,MALE,39,23,31
235129,MALE,43,30,46
235173,MALE,32,27,30
235226,MALE,21,8,10
235305,MALE,43,29,42
235725,MALE,28,24,29
236058,MALE,33,26,29
236061,MALE,41,27,29
236077,MALE,31,21,29
236081,MALE,33,25,31
236084,MALE,59,7,45
236110,MALE,44,25,35
236111,MALE,56,10,39
236114,MALE,41,26,31
236117,MALE,47,19,29
236122,MALE,33,24,28
236135,MALE,55,17,58
236155,MALE,35,26,29
236190,MALE,53,11,56
237278,MALE,69,1,31
